Date,Home Team,Score,Away Team
28-04-2024,Rizespor,2 - 2,Ankaragucu
03-05-2024,Ankaragucu,1 - 1,Alanyaspor
12-05-2024,Hatayspor,2 - 1,Ankaragucu
18-05-2024,Ankaragucu,0 - 0,Pendikspor
26-05-2024,Trabzonspor,4 - 2,Ankaragucu
11-08-2023,Trabzonspor,1 - 0,Antalyaspor
18-08-2023,Antalyaspor,1 - 1,Konyaspor
26-08-2023,Sivasspor,1 - 1,Antalyaspor
02-09-2023,Antalyaspor,1 - 1,Kayserispor
17-09-2023,Fenerbahce,3 - 2,Antalyaspor
23-09-2023,Antalyaspor,2 - 0,Samsunspor
30-09-2023,İstanbulspor,1 - 2,Antalyaspor
07-10-2023,Antalyaspor,0 - 2,Galatasaray
21-10-2023,Gaziantep BBK,1 - 0,Antalyaspor
29-10-2023,Antalyaspor,1 - 0,Buyuksehyr
05-11-2023,Antalyaspor,3 - 2,Besiktas
10-11-2023,Ankaragucu,0 - 4,Antalyaspor
26-11-2023,Antalyaspor,0 - 0,Rizespor
01-12-2023,Hatayspor,3 - 3,Antalyaspor
09-12-2023,Antalyaspor,2 - 1,Fatih Karagümrük
20-12-2023,Antalyaspor,0 - 0,Kasimpasa
24-12-2023,Adana Demirspor,2 - 1,Antalyaspor
05-01-2024,Antalyaspor,0 - 0,Alanyaspor
09-01-2024,Pendikspor,0 - 1,Antalyaspor
14-01-2024,Antalyaspor,1 - 1,Trabzonspor
21-01-2024,Konyaspor,1 - 1,Antalyaspor
24-01-2024,Antalyaspor,2 - 1,Sivasspor
29-01-2024,Kayserispor,1 - 1,Antalyaspor
03-02-2024,Antalyaspor,0 - 2,Fenerbahce
12-02-2024,Samsunspor,2 - 0,Antalyaspor
17-02-2024,Antalyaspor,2 - 2,İstanbulspor
26-02-2024,Galatasaray,2 - 1,Antalyaspor
04-03-2024,Antalyaspor,1 - 0,Gaziantep BBK
09-03-2024,Buyuksehyr,1 - 0,Antalyaspor
16-03-2024,Besiktas,1 - 2,Antalyaspor
02-04-2024,Antalyaspor,1 - 1,Ankaragucu
14-04-2024,Rizespor,3 - 0,Antalyaspor
21-04-2024,Antalyaspor,2 - 1,Hatayspor
29-04-2024,Fatih Karagümrük,4 - 1,Antalyaspor
06-05-2024,Antalyaspor,1 - 2,Pendikspor
12-05-2024,Kasimpasa,3 - 1,Antalyaspor
17-05-2024,Antalyaspor,2 - 1,Adana Demirspor
24-05-2024,Alanyaspor,1 - 1,Antalyaspor
14-08-2023,Fatih Karagümrük,0 - 1,Besiktas
20-08-2023,Besiktas,1 - 1,Pendikspor
03-09-2023,Besiktas,2 - 0,Sivasspor
17-09-2023,Trabzonspor,3 - 0,Besiktas
24-09-2023,Besiktas,2 - 1,Kayserispor
27-09-2023,Adana Demirspor,4 - 2,Besiktas
01-10-2023,Konyaspor,0 - 2,Besiktas
08-10-2023,Besiktas,2 - 0,İstanbulspor
21-10-2023,Galatasaray,2 - 1,Besiktas
30-10-2023,Besiktas,2 - 0,Gaziantep BBK
05-11-2023,Antalyaspor,3 - 2,Besiktas
12-11-2023,Besiktas,1 - 0,Buyuksehyr
26-11-2023,Samsunspor,1 - 2,Besiktas
03-12-2023,Ankaragucu,1 - 1,Besiktas
09-12-2023,Besiktas,1 - 3,Fenerbahce
21-12-2023,Besiktas,1 - 3,Alanyaspor
25-12-2023,Hatayspor,1 - 2,Besiktas
05-01-2024,Besiktas,1 - 3,Kasimpasa
09-01-2024,Rizespor,0 - 4,Besiktas
13-01-2024,Besiktas,3 - 0,Fatih Karagümrük
20-01-2024,Pendikspor,4 - 0,Besiktas
23-01-2024,Besiktas,0 - 0,Adana Demirspor
28-01-2024,Sivasspor,1 - 0,Besiktas
04-02-2024,Besiktas,2 - 0,Trabzonspor
12-02-2024,Kayserispor,0 - 0,Besiktas
19-02-2024,Besiktas,2 - 0,Konyaspor
25-02-2024,İstanbulspor,0 - 2,Besiktas
03-03-2024,Besiktas,0 - 1,Galatasaray
11-03-2024,Gaziantep BBK,2 - 0,Besiktas
16-03-2024,Besiktas,1 - 2,Antalyaspor
04-04-2024,Buyuksehyr,1 - 1,Besiktas
13-04-2024,Besiktas,1 - 1,Samsunspor
19-04-2024,Besiktas,2 - 0,Ankaragucu
27-04-2024,Fenerbahce,2 - 1,Besiktas
03-05-2024,Besiktas,3 - 2,Rizespor
12-05-2024,Alanyaspor,1 - 1,Besiktas
18-05-2024,Besiktas,2 - 2,Hatayspor
26-05-2024,Kasimpasa,2 - 1,Besiktas
14-08-2023,Alanyaspor,2 - 0,Buyuksehyr
20-08-2023,Buyuksehyr,0 - 2,Fatih Karagümrük
02-09-2023,Buyuksehyr,0 - 1,Konyaspor
17-09-2023,İstanbulspor,0 - 2,Buyuksehyr
23-09-2023,Buyuksehyr,1 - 2,Galatasaray
28-09-2023,Fenerbahce,4 - 0,Buyuksehyr
02-10-2023,Kayserispor,0 - 0,Buyuksehyr
07-10-2023,Buyuksehyr,2 - 0,Gaziantep BBK
22-10-2023,Samsunspor,0 - 0,Buyuksehyr
29-10-2023,Antalyaspor,1 - 0,Buyuksehyr
05-11-2023,Buyuksehyr,3 - 3,Ankaragucu
12-11-2023,Besiktas,1 - 0,Buyuksehyr
27-11-2023,Buyuksehyr,4 - 1,Pendikspor
02-12-2023,Rizespor,3 - 2,Buyuksehyr
10-12-2023,Buyuksehyr,1 - 0,Hatayspor
19-12-2023,Buyuksehyr,3 - 1,Sivasspor
